AC,YR,GDP,FSV,OWC,DWS,SAN,ANM,OBE,PoU
5000.0,2000.0,12770.0,10.0,5.3,82.0,56.0,29.3,8.7,12.8
5000.0,2001.0,12905.0,7.0,5.3,82.0,56.0,29.0,9.0,13.0
5000.0,2002.0,13093.0,8.0,5.4,82.0,57.0,28.8,9.3,13.2
5000.0,2003.0,13403.0,11.0,5.4,83.0,58.0,28.7,9.5,12.9
5000.0,2004.0,13915.0,13.0,5.4,83.0,60.0,28.5,9.8,12.7
5000.0,2005.0,14371.0,11.0,5.4,84.0,61.0,28.4,10.1,12.1
5000.0,2006.0,14928.0,5.0,5.4,84.0,62.0,28.2,10.4,11.0
5000.0,2007.0,15511.0,4.0,5.4,85.0,63.0,28.1,10.6,10.0
5000.0,2008.0,15748.0,10.0,5.4,85.0,64.0,27.9,10.9,9.3
5000.0,2009.0,15452.0,13.0,5.4,86.0,66.0,27.7,11.2,9.0
5000.0,2010.0,16048.0,11.0,5.4,86.0,67.0,27.6,11.5,8.7
5000.0,2011.0,16480.0,8.0,5.3,86.0,68.0,27.5,11.8,8.2
5000.0,2012.0,16785.0,4.0,5.3,87.0,69.0,27.6,12.1,8.2
5000.0,2013.0,17122.0,5.0,5.3,87.0,70.0,27.6,12.4,7.7
5000.0,2014.0,17500.0,5.0,5.2,88.0,72.0,27.8,12.7,7.4
5000.0,2015.0,17868.0,5.0,5.2,88.0,73.0,28.0,13.0,8.0
5000.0,2016.0,18233.0,12.0,5.2,89.0,74.0,28.2,13.3,7.6
5000.0,2017.0,18715.0,12.0,5.2,89.0,75.0,28.4,13.6,7.2
5000.0,2018.0,19189.0,12.0,5.1,89.0,76.0,28.6,14.0,7.4
5000.0,2019.0,19552.0,12.0,5.1,90.0,77.0,28.9,14.3,7.5
5000.0,2020.0,18812.0,6.0,5.2,90.0,78.0,29.2,14.6,8.4
5000.0,2021.0,19867.0,5.0,5.2,90.0,80.0,29.6,15.0,8.6
5000.0,2022.0,20409.0,6.0,5.2,91.0,81.0,30.1,15.4,8.6
5000.0,2023.0,20918.0,7.0,5.3,91.0,81.0,30.7,15.8,8.5
5100.0,2000.0,4614.0,4.0,6.3,48.0,25.0,41.2,8.7,22.1
5100.0,2001.0,4681.0,12.0,6.4,48.0,25.0,40.7,9.1,21.4
5100.0,2002.0,4809.0,13.0,6.4,49.0,26.0,40.2,9.4,21.0
5100.0,2003.0,4902.0,13.0,6.4,50.0,26.0,39.7,9.8,20.7
5100.0,2004.0,5065.0,11.0,6.3,51.0,27.0,39.2,10.2,20.2
5100.0,2005.0,5218.0,5.0,6.2,52.0,27.0,38.7,10.5,18.9
5100.0,2006.0,5391.0,5.0,6.0,53.0,28.0,38.1,10.9,18.0
5100.0,2007.0,5569.0,9.0,5.9,54.0,28.0,37.5,11.2,17.3
5100.0,2008.0,5714.0,11.0,5.7,54.0,29.0,36.9,11.5,16.7
5100.0,2009.0,5759.0,14.0,5.5,55.0,29.0,36.2,11.8,16.0
5100.0,2010.0,5935.0,12.0,5.3,56.0,30.0,35.7,12.1,15.9
5100.0,2011.0,5961.0,9.0,5.1,57.0,30.0,35.2,12.4,15.8
5100.0,2012.0,6091.0,7.0,4.9,58.0,31.0,34.9,12.7,15.8
5100.0,2013.0,6166.0,7.0,4.7,59.0,31.0,34.7,13.0,15.8
5100.0,2014.0,6248.0,10.0,4.5,60.0,32.0,34.5,13.3,15.6
5100.0,2015.0,6287.0,7.0,4.3,61.0,33.0,34.4,13.6,16.1
5100.0,2016.0,6250.0,7.0,4.2,62.0,33.0,34.4,14.0,17.1
5100.0,2017.0,6285.0,12.0,4.1,62.0,34.0,34.5,14.3,16.7
5100.0,2018.0,6329.0,11.0,4.0,63.0,34.0,34.5,14.6,17.0
5100.0,2019.0,6354.0,11.0,3.9,64.0,35.0,34.6,14.9,17.5
5100.0,2020.0,6040.0,8.0,3.9,65.0,36.0,34.7,15.2,18.3
5100.0,2021.0,6130.0,11.0,4.0,66.0,36.0,35.0,15.5,18.8
5100.0,2022.0,6250.0,9.0,4.1,67.0,37.0,35.4,15.9,19.1
5100.0,2023.0,6301.0,9.0,4.2,68.0,37.0,35.9,16.2,20.1
5101.0,2000.0,1843.0,6.0,5.2,34.0,14.0,34.6,2.6,38.0
5101.0,2001.0,1877.0,11.0,5.3,35.0,15.0,33.8,2.8,36.4
5101.0,2002.0,1842.0,11.0,5.4,36.0,15.0,33.0,2.9,35.6
5101.0,2003.0,1813.0,12.0,5.4,37.0,16.0,32.3,3.1,35.4
5101.0,2004.0,1861.0,14.0,5.4,38.0,16.0,31.6,3.3,34.3
5101.0,2005.0,1911.0,10.0,5.3,39.0,17.0,30.9,3.5,31.3
5101.0,2006.0,1980.0,12.0,5.2,40.0,18.0,30.2,3.6,29.6
5101.0,2007.0,2056.0,15.0,5.0,42.0,18.0,29.4,3.8,28.4
5101.0,2008.0,2078.0,17.0,4.8,43.0,19.0,28.8,4.0,27.3
5101.0,2009.0,2136.0,15.0,4.6,44.0,20.0,28.2,4.2,25.7
5101.0,2010.0,2252.0,7.0,4.4,45.0,20.0,27.7,4.4,24.8
5101.0,2011.0,2358.0,9.0,4.1,46.0,21.0,27.4,4.6,24.0
5101.0,2012.0,2440.0,10.0,3.9,48.0,21.0,27.3,4.8,23.4
5101.0,2013.0,2512.0,8.0,3.8,49.0,22.0,27.4,5.0,23.3
5101.0,2014.0,2594.0,3.0,3.6,50.0,23.0,27.6,5.2,23.4
5101.0,2015.0,2674.0,6.0,3.4,51.0,24.0,27.8,5.5,24.1
5101.0,2016.0,2745.0,9.0,3.3,52.0,24.0,28.1,5.7,26.6
5101.0,2017.0,2820.0,30.0,3.2,54.0,25.0,28.4,6.0,25.8
5101.0,2018.0,2896.0,28.0,3.2,55.0,26.0,28.7,6.2,25.9
5101.0,2019.0,2958.0,24.0,3.2,56.0,26.0,29.0,6.5,27.4
5101.0,2020.0,2890.0,20.0,3.2,58.0,27.0,29.4,6.8,27.0
5101.0,2021.0,2973.0,23.0,3.3,59.0,28.0,29.9,7.1,27.5
5101.0,2022.0,3039.0,19.0,3.4,60.0,29.0,30.5,7.4,26.1
5101.0,2023.0,3128.0,24.0,3.6,61.0,29.0,31.4,7.7,25.5
5102.0,2000.0,2969.0,49.0,5.8,43.0,26.0,52.9,3.7,34.6
5102.0,2001.0,3019.0,47.0,6.0,43.0,26.0,52.4,3.9,34.0
5102.0,2002.0,3164.0,51.0,6.1,43.0,26.0,51.9,4.2,33.2
5102.0,2003.0,3214.0,51.0,6.1,43.0,26.0,51.4,4.4,32.1
5102.0,2004.0,3452.0,48.0,6.1,44.0,26.0,50.8,4.7,30.3
5102.0,2005.0,3668.0,30.0,6.1,44.0,26.0,50.1,4.9,28.4
5102.0,2006.0,3804.0,20.0,6.0,44.0,26.0,49.4,5.2,26.7
5102.0,2007.0,4006.0,9.0,5.8,45.0,26.0,48.6,5.4,25.2
5102.0,2008.0,4188.0,8.0,5.6,45.0,26.0,47.7,5.6,23.9
5102.0,2009.0,4147.0,13.0,5.4,46.0,26.0,46.7,5.9,22.9
5102.0,2010.0,4216.0,18.0,5.1,46.0,26.0,45.8,6.1,23.5
5102.0,2011.0,4262.0,17.0,4.9,46.0,26.0,44.9,6.3,23.2
5102.0,2012.0,4448.0,14.0,4.7,47.0,26.0,44.1,6.5,24.5
5102.0,2013.0,4477.0,15.0,4.4,47.0,26.0,43.4,6.7,23.7
5102.0,2014.0,4543.0,15.0,4.3,48.0,27.0,42.8,7.0,22.2
5102.0,2015.0,4489.0,17.0,4.1,48.0,27.0,42.3,7.2,24.5
5102.0,2016.0,4292.0,24.0,4.0,48.0,27.0,41.9,7.5,26.1
5102.0,2017.0,4172.0,32.0,3.9,48.0,27.0,41.7,7.7,25.0
5102.0,2018.0,4096.0,33.0,3.9,49.0,26.0,41.5,8.0,25.7
5102.0,2019.0,4011.0,31.0,3.9,49.0,26.0,41.3,8.3,26.2
5102.0,2020.0,3804.0,14.0,4.0,49.0,26.0,41.2,8.6,26.8
