AC,YR,PoU
5000.0,2000.0,12.8
5000.0,2001.0,13.0
5000.0,2002.0,13.2
5000.0,2003.0,12.9
5000.0,2004.0,12.7
5000.0,2005.0,12.1
5000.0,2006.0,11.0
5000.0,2007.0,10.0
5000.0,2008.0,9.3
5000.0,2009.0,9.0
5000.0,2010.0,8.7
5000.0,2011.0,8.2
5000.0,2012.0,8.2
5000.0,2013.0,7.7
5000.0,2014.0,7.4
5000.0,2015.0,8.0
5000.0,2016.0,7.6
5000.0,2017.0,7.2
5000.0,2018.0,7.4
5000.0,2019.0,7.5
5000.0,2020.0,8.4
5000.0,2021.0,8.6
5000.0,2022.0,8.6
5000.0,2023.0,8.5
5000.0,2024.0,8.1
5000.0,2025.0,7.8
5100.0,2000.0,22.1
5100.0,2001.0,21.4
5100.0,2002.0,21.0
5100.0,2003.0,20.7
5100.0,2004.0,20.2
5100.0,2005.0,18.9
5100.0,2006.0,18.0
5100.0,2007.0,17.3
5100.0,2008.0,16.7
5100.0,2009.0,16.0
5100.0,2010.0,15.9
5100.0,2011.0,15.8
5100.0,2012.0,15.8
5100.0,2013.0,15.8
5100.0,2014.0,15.6
5100.0,2015.0,16.1
5100.0,2016.0,17.1
5100.0,2017.0,16.7
5100.0,2018.0,17.0
5100.0,2019.0,17.5
5100.0,2020.0,18.3
5100.0,2021.0,18.8
5100.0,2022.0,19.1
5100.0,2023.0,20.1
5100.0,2024.0,20.3
5100.0,2025.0,20.0
5101.0,2000.0,38.0
5101.0,2001.0,36.4
5101.0,2002.0,35.6
5101.0,2003.0,35.4
5101.0,2004.0,34.3
5101.0,2005.0,31.3
5101.0,2006.0,29.6
5101.0,2007.0,28.4
5101.0,2008.0,27.3
5101.0,2009.0,25.7
5101.0,2010.0,24.8
5101.0,2011.0,24.0
5101.0,2012.0,23.4
5101.0,2013.0,23.3
5101.0,2014.0,23.4
5101.0,2015.0,24.1
5101.0,2016.0,26.6
5101.0,2017.0,25.8
5101.0,2018.0,25.9
5101.0,2019.0,27.4
5101.0,2020.0,27.0
5101.0,2021.0,27.5
5101.0,2022.0,26.1
5101.0,2023.0,25.5
5101.0,2024.0,26.3
5101.0,2025.0,25.6
5102.0,2000.0,34.6
5102.0,2001.0,34.0
5102.0,2002.0,33.2
5102.0,2003.0,32.1
5102.0,2004.0,30.3
5102.0,2005.0,28.4
5102.0,2006.0,26.7
5102.0,2007.0,25.2
5102.0,2008.0,23.9
5102.0,2009.0,22.9
5102.0,2010.0,23.5
5102.0,2011.0,23.2
5102.0,2012.0,24.5
5102.0,2013.0,23.7
5102.0,2014.0,22.2
5102.0,2015.0,24.5
5102.0,2016.0,26.1
5102.0,2017.0,25.0
5102.0,2018.0,25.7
5102.0,2019.0,26.2
5102.0,2020.0,26.8
5102.0,2021.0,26.2
5102.0,2022.0,29.0
5102.0,2023.0,29.8
5102.0,2024.0,29.3
5102.0,2025.0,28.9
5103.0,2000.0,7.5
5103.0,2001.0,6.9
5103.0,2002.0,6.6
5103.0,2003.0,6.7
5103.0,2004.0,7.1
5103.0,2005.0,6.8
5103.0,2006.0,6.4
5103.0,2007.0,6.1
5103.0,2008.0,5.7
5103.0,2009.0,5.7
5103.0,2010.0,5.6
5103.0,2011.0,5.7
5103.0,2012.0,5.6
5103.0,2013.0,5.7
5103.0,2014.0,5.7
5103.0,2015.0,5.8
5103.0,2016.0,5.9
5103.0,2017.0,6.2
5103.0,2018.0,6.0
5103.0,2019.0,6.0
5103.0,2020.0,6.6
5103.0,2021.0,7.5
5103.0,2022.0,7.8
5103.0,2023.0,10.3
5103.0,2024.0,9.8
5103.0,2025.0,9.8
5104.0,2000.0,5.1
5104.0,2001.0,4.8
5104.0,2002.0,5.1
5104.0,2003.0,4.9
5104.0,2004.0,4.8
5104.0,2005.0,4.7
5104.0,2006.0,5.1
5104.0,2007.0,5.2
5104.0,2008.0,5.2
5104.0,2009.0,5.3
5104.0,2010.0,6.4
5104.0,2011.0,6.4
5104.0,2012.0,6.0
5104.0,2013.0,6.3
5104.0,2014.0,6.9
5104.0,2015.0,7.6
5104.0,2016.0,7.3
5104.0,2017.0,7.0
5104.0,2018.0,7.3
5104.0,2019.0,7.9
5104.0,2020.0,9.7
5104.0,2021.0,11.3
5104.0,2022.0,10.4
5104.0,2023.0,11.3
5104.0,2024.0,12.1
5104.0,2025.0,12.3
5105.0,2000.0,14.4
5105.0,2001.0,14.2
5105.0,2002.0,13.9
5105.0,2003.0,13.3
5105.0,2004.0,13.1
5105.0,2005.0,12.8
5105.0,2006.0,12.4
5105.0,2007.0,12.2
5105.0,2008.0,11.7
5105.0,2009.0,11.5
5105.0,2010.0,11.7
5105.0,2011.0,12.3
5105.0,2012.0,12.3
5105.0,2013.0,12.6
5105.0,2014.0,12.0
5105.0,2015.0,11.7
5105.0,2016.0,11.7
5105.0,2017.0,11.6
5105.0,2018.0,12.0
5105.0,2019.0,11.7
5105.0,2020.0,13.8
5105.0,2021.0,14.1
5105.0,2022.0,15.2
5105.0,2023.0,16.9
5105.0,2024.0,17.1
5105.0,2025.0,16.9
5203.0,2000.0,0.0
5203.0,2001.0,0.0
5203.0,2002.0,0.0
5203.0,2003.0,0.0
5203.0,2004.0,0.0
5203.0,2005.0,0.0
5203.0,2006.0,0.0
5203.0,2007.0,0.0
5203.0,2008.0,0.0
5203.0,2009.0,0.0
5203.0,2010.0,0.0
5203.0,2011.0,0.0
5203.0,2012.0,0.0
5203.0,2013.0,0.0
5203.0,2014.0,0.0
5203.0,2015.0,0.0
5203.0,2016.0,0.0
5203.0,2017.0,0.0
5203.0,2018.0,0.0
5203.0,2019.0,0.0
5203.0,2020.0,0.0
5203.0,2021.0,0.0
5203.0,2022.0,0.0
5203.0,2023.0,0.0
5203.0,2024.0,0.0
5203.0,2025.0,0.0
5204.0,2000.0,7.5
5204.0,2001.0,6.8
5204.0,2002.0,6.6
5204.0,2003.0,7.2
5204.0,2004.0,7.8
5204.0,2005.0,7.3
5204.0,2006.0,6.6
5204.0,2007.0,6.5
5204.0,2008.0,7.1
5204.0,2009.0,6.8
5204.0,2010.0,6.4
5204.0,2011.0,6.3
5204.0,2012.0,6.1
5204.0,2013.0,6.4
5204.0,2014.0,6.4
5204.0,2015.0,6.3
5204.0,2016.0,5.9
5204.0,2017.0,5.8
5204.0,2018.0,5.9
5204.0,2019.0,5.4
5204.0,2020.0,5.5
5204.0,2021.0,5.5
5204.0,2022.0,5.6
5204.0,2023.0,5.7
5204.0,2024.0,5.3
5204.0,2025.0,5.1
5205.0,2000.0,10.3
5205.0,2001.0,10.1
5205.0,2002.0,10.4
5205.0,2003.0,9.6
5205.0,2004.0,9.2
5205.0,2005.0,8.5
5205.0,2006.0,7.8
5205.0,2007.0,7.2
5205.0,2008.0,6.7
5205.0,2009.0,6.4
5205.0,2010.0,6.0
5205.0,2011.0,5.7
5205.0,2012.0,5.5
5205.0,2013.0,5.2
5205.0,2014.0,4.9
5205.0,2015.0,5.1
5205.0,2016.0,5.9
5205.0,2017.0,5.6
5205.0,2018.0,5.7
5205.0,2019.0,5.4
5205.0,2020.0,6.1
5205.0,2021.0,5.9
5205.0,2022.0,5.7
5205.0,2023.0,5.5
5205.0,2024.0,5.0
5205.0,2025.0,4.8
5206.0,2000.0,17.2
5206.0,2001.0,17.5
5206.0,2002.0,17.3
5206.0,2003.0,19.8
5206.0,2004.0,18.6
5206.0,2005.0,17.8
5206.0,2006.0,16.9
5206.0,2007.0,16.0
5206.0,2008.0,15.5
5206.0,2009.0,14.6
5206.0,2010.0,14.2
5206.0,2011.0,13.9
5206.0,2012.0,14.1
5206.0,2013.0,13.4
5206.0,2014.0,12.6
5206.0,2015.0,12.7
5206.0,2016.0,13.0
5206.0,2017.0,12.7
5206.0,2018.0,13.3
5206.0,2019.0,13.4
5206.0,2020.0,14.5
5206.0,2021.0,14.4
5206.0,2022.0,17.2
5206.0,2023.0,17.0
5206.0,2024.0,16.5
5206.0,2025.0,16.6
5207.0,2000.0,10.7
5207.0,2001.0,10.5
5207.0,2002.0,11.2
5207.0,2003.0,9.4
5207.0,2004.0,8.8
5207.0,2005.0,8.0
5207.0,2006.0,7.3
5207.0,2007.0,6.5
5207.0,2008.0,5.6
5207.0,2009.0,5.4
5207.0,2010.0,5.0
5207.0,2011.0,4.6
5207.0,2012.0,4.3
5207.0,2013.0,3.9
5207.0,2014.0,3.5
5207.0,2015.0,3.8
5207.0,2016.0,5.1
5207.0,2017.0,4.7
5207.0,2018.0,4.9
5207.0,2019.0,4.6
5207.0,2020.0,5.5
5207.0,2021.0,5.2
5207.0,2022.0,4.6
5207.0,2023.0,4.2
5207.0,2024.0,3.7
5207.0,2025.0,3.5
5208.0,2000.0,0.0
5208.0,2001.0,0.0
5208.0,2002.0,0.0
5208.0,2003.0,0.0
5208.0,2004.0,0.0
5208.0,2005.0,0.0
5208.0,2006.0,0.0
5208.0,2007.0,0.0
5208.0,2008.0,0.0
5208.0,2009.0,0.0
5208.0,2010.0,0.0
5208.0,2011.0,0.0
5208.0,2012.0,0.0
5208.0,2013.0,0.0
5208.0,2014.0,0.0
5208.0,2015.0,0.0
5208.0,2016.0,0.0
5208.0,2017.0,0.0
5208.0,2018.0,0.0
5208.0,2019.0,0.0
5208.0,2020.0,0.0
5208.0,2021.0,0.0
5208.0,2022.0,0.0
5208.0,2023.0,0.0
5208.0,2024.0,0.0
5208.0,2025.0,0.0
5300.0,2000.0,14.3
5300.0,2001.0,14.8
5300.0,2002.0,15.2
5300.0,2003.0,14.8
5300.0,2004.0,14.6
5300.0,2005.0,14.0
5300.0,2006.0,12.6
5300.0,2007.0,11.0
5300.0,2008.0,10.1
5300.0,2009.0,9.8
5300.0,2010.0,9.3
5300.0,2011.0,8.6
5300.0,2012.0,8.5
5300.0,2013.0,7.6
5300.0,2014.0,7.3
5300.0,2015.0,8.0
5300.0,2016.0,7.0
5300.0,2017.0,6.3
5300.0,2018.0,6.5
5300.0,2019.0,6.5
5300.0,2020.0,7.7
5300.0,2021.0,7.9
5300.0,2022.0,7.7
5300.0,2023.0,7.2
5300.0,2024.0,6.4
5300.0,2025.0,6.0
5301.0,2000.0,14.6
5301.0,2001.0,16.8
5301.0,2002.0,17.6
5301.0,2003.0,16.4
5301.0,2004.0,14.8
5301.0,2005.0,13.5
5301.0,2006.0,12.2
5301.0,2007.0,10.7
5301.0,2008.0,9.6
5301.0,2009.0,8.5
5301.0,2010.0,7.7
5301.0,2011.0,6.4
5301.0,2012.0,6.0
5301.0,2013.0,5.8
5301.0,2014.0,5.2
5301.0,2015.0,4.8
5301.0,2016.0,4.5
5301.0,2017.0,4.0
5301.0,2018.0,3.5
5301.0,2019.0,3.3
5301.0,2020.0,4.0
5301.0,2021.0,3.9
5301.0,2022.0,3.3
5301.0,2023.0,3.0
5301.0,2024.0,2.8
5301.0,2025.0,2.8
5302.0,2000.0,9.8
5302.0,2001.0,9.3
5302.0,2002.0,8.6
5302.0,2003.0,8.2
5302.0,2004.0,7.3
5302.0,2005.0,6.6
5302.0,2006.0,6.0
5302.0,2007.0,5.1
5302.0,2008.0,4.0
5302.0,2009.0,3.4
5302.0,2010.0,2.6
5302.0,2011.0,0.0
5302.0,2012.0,0.0
5302.0,2013.0,0.0
5302.0,2014.0,0.0
5302.0,2015.0,0.0
5302.0,2016.0,0.0
5302.0,2017.0,0.0
5302.0,2018.0,0.0
5302.0,2019.0,0.0
5302.0,2020.0,0.0
5302.0,2021.0,0.0
5302.0,2022.0,0.0
5302.0,2023.0,0.0
5302.0,2024.0,0.0
5302.0,2025.0,0.0
5303.0,2000.0,16.2
5303.0,2001.0,17.8
5303.0,2002.0,19.8
5303.0,2003.0,19.5
5303.0,2004.0,20.6
5303.0,2005.0,20.1
5303.0,2006.0,17.7
5303.0,2007.0,15.5
5303.0,2008.0,14.7
5303.0,2009.0,15.0
5303.0,2010.0,15.1
5303.0,2011.0,14.1
5303.0,2012.0,14.4
5303.0,2013.0,12.3
5303.0,2014.0,12.1
5303.0,2015.0,13.8
5303.0,2016.0,11.6
5303.0,2017.0,10.4
5303.0,2018.0,10.7
5303.0,2019.0,10.9
5303.0,2020.0,13.5
5303.0,2021.0,13.9
5303.0,2022.0,13.4
5303.0,2023.0,12.2
5303.0,2024.0,10.2
5303.0,2025.0,9.3
5304.0,2000.0,20.0
5304.0,2001.0,19.9
5304.0,2002.0,18.6
5304.0,2003.0,17.9
5304.0,2004.0,17.2
5304.0,2005.0,16.8
5304.0,2006.0,16.1
5304.0,2007.0,15.0
5304.0,2008.0,14.3
5304.0,2009.0,13.2
5304.0,2010.0,11.6
5304.0,2011.0,10.3
5304.0,2012.0,9.3
5304.0,2013.0,9.1
5304.0,2014.0,8.0
5304.0,2015.0,8.0
5304.0,2016.0,6.8
5304.0,2017.0,6.2
5304.0,2018.0,6.0
5304.0,2019.0,5.8
5304.0,2020.0,5.9
5304.0,2021.0,5.6
5304.0,2022.0,5.4
5304.0,2023.0,5.5
5304.0,2024.0,5.4
5304.0,2025.0,5.1
5305.0,2000.0,19.3
5305.0,2001.0,19.4
5305.0,2002.0,19.4
5305.0,2003.0,19.8
5305.0,2004.0,16.3
5305.0,2005.0,13.5
5305.0,2006.0,10.7
5305.0,2007.0,8.7
5305.0,2008.0,7.8
5305.0,2009.0,6.8
5305.0,2010.0,6.2
5305.0,2011.0,7.6
5305.0,2012.0,7.6
5305.0,2013.0,7.9
5305.0,2014.0,8.4
5305.0,2015.0,9.3
5305.0,2016.0,10.5
5305.0,2017.0,10.2
5305.0,2018.0,10.6
5305.0,2019.0,10.7
5305.0,2020.0,11.1
5305.0,2021.0,11.5
5305.0,2022.0,11.6
5305.0,2023.0,12.1
5305.0,2024.0,12.4
5305.0,2025.0,13.0
5306.0,2000.0,16.1
5306.0,2001.0,17.8
5306.0,2002.0,19.7
5306.0,2003.0,19.4
5306.0,2004.0,20.4
5306.0,2005.0,19.9
5306.0,2006.0,17.5
5306.0,2007.0,15.3
5306.0,2008.0,14.5
5306.0,2009.0,14.8
5306.0,2010.0,14.9
5306.0,2011.0,13.8
5306.0,2012.0,14.1
5306.0,2013.0,12.1
5306.0,2014.0,11.9
5306.0,2015.0,13.5
5306.0,2016.0,11.4
5306.0,2017.0,10.1
5306.0,2018.0,10.5
5306.0,2019.0,10.6
5306.0,2020.0,13.1
5306.0,2021.0,13.5
5306.0,2022.0,13.1
5306.0,2023.0,11.8
5306.0,2024.0,9.9
5306.0,2025.0,9.1
5307.0,2000.0,12.4
5307.0,2001.0,12.1
5307.0,2002.0,11.2
5307.0,2003.0,10.8
5307.0,2004.0,10.0
5307.0,2005.0,9.3
5307.0,2006.0,8.7
5307.0,2007.0,7.8
5307.0,2008.0,6.8
5307.0,2009.0,6.1
5307.0,2010.0,5.1
5307.0,2011.0,4.3
5307.0,2012.0,3.9
5307.0,2013.0,3.9
5307.0,2014.0,3.3
5307.0,2015.0,3.2
5307.0,2016.0,2.9
5307.0,2017.0,2.6
5307.0,2018.0,2.6
5307.0,2019.0,0.0
5307.0,2020.0,2.6
5307.0,2021.0,0.0
5307.0,2022.0,0.0
5307.0,2023.0,0.0
5307.0,2024.0,0.0
5307.0,2025.0,0.0
5308.0,2000.0,13.6
5308.0,2001.0,13.3
5308.0,2002.0,13.2
5308.0,2003.0,13.5
5308.0,2004.0,11.9
5308.0,2005.0,10.3
5308.0,2006.0,8.6
5308.0,2007.0,7.4
5308.0,2008.0,6.8
5308.0,2009.0,6.3
5308.0,2010.0,5.9
5308.0,2011.0,6.7
5308.0,2012.0,6.7
5308.0,2013.0,6.8
5308.0,2014.0,7.1
5308.0,2015.0,7.7
5308.0,2016.0,8.4
5308.0,2017.0,8.3
5308.0,2018.0,8.4
5308.0,2019.0,8.5
5308.0,2020.0,9.0
5308.0,2021.0,9.6
5308.0,2022.0,9.8
5308.0,2023.0,11.3
5308.0,2024.0,11.2
5308.0,2025.0,11.5
5400.0,2000.0,0.0
5400.0,2001.0,0.0
5400.0,2002.0,0.0
5400.0,2003.0,0.0
5400.0,2004.0,0.0
5400.0,2005.0,0.0
5400.0,2006.0,0.0
5400.0,2007.0,0.0
5400.0,2008.0,0.0
5400.0,2009.0,0.0
5400.0,2010.0,0.0
5400.0,2011.0,0.0
5400.0,2012.0,0.0
5400.0,2013.0,0.0
5400.0,2014.0,0.0
5400.0,2015.0,0.0
5400.0,2016.0,0.0
5400.0,2017.0,0.0
5400.0,2018.0,0.0
5400.0,2019.0,0.0
5400.0,2020.0,0.0
5400.0,2021.0,0.0
5400.0,2022.0,0.0
5400.0,2023.0,0.0
5400.0,2024.0,0.0
5400.0,2025.0,0.0
5401.0,2000.0,4.0
5401.0,2001.0,3.3
5401.0,2002.0,2.8
5401.0,2003.0,2.7
5401.0,2004.0,0.0
5401.0,2005.0,0.0
5401.0,2006.0,0.0
5401.0,2007.0,0.0
5401.0,2008.0,0.0
5401.0,2009.0,0.0
5401.0,2010.0,0.0
5401.0,2011.0,0.0
5401.0,2012.0,0.0
5401.0,2013.0,0.0
5401.0,2014.0,0.0
5401.0,2015.0,0.0
5401.0,2016.0,0.0
5401.0,2017.0,0.0
5401.0,2018.0,0.0
5401.0,2019.0,0.0
5401.0,2020.0,0.0
5401.0,2021.0,0.0
5401.0,2022.0,0.0
5401.0,2023.0,0.0
5401.0,2024.0,0.0
5401.0,2025.0,0.0
5402.0,2000.0,0.0
5402.0,2001.0,0.0
5402.0,2002.0,0.0
5402.0,2003.0,0.0
5402.0,2004.0,0.0
5402.0,2005.0,0.0
5402.0,2006.0,0.0
5402.0,2007.0,0.0
5402.0,2008.0,0.0
5402.0,2009.0,0.0
5402.0,2010.0,0.0
5402.0,2011.0,0.0
5402.0,2012.0,0.0
5402.0,2013.0,0.0
5402.0,2014.0,0.0
5402.0,2015.0,0.0
5402.0,2016.0,0.0
5402.0,2017.0,0.0
5402.0,2018.0,0.0
5402.0,2019.0,0.0
5402.0,2020.0,0.0
5402.0,2021.0,0.0
5402.0,2022.0,0.0
5402.0,2023.0,0.0
5402.0,2024.0,0.0
5402.0,2025.0,0.0
5403.0,2000.0,0.0
5403.0,2001.0,0.0
5403.0,2002.0,0.0
5403.0,2003.0,0.0
5403.0,2004.0,0.0
5403.0,2005.0,0.0
5403.0,2006.0,0.0
5403.0,2007.0,0.0
5403.0,2008.0,0.0
5403.0,2009.0,0.0
5403.0,2010.0,0.0
5403.0,2011.0,0.0
5403.0,2012.0,0.0
5403.0,2013.0,0.0
5403.0,2014.0,0.0
5403.0,2015.0,0.0
5403.0,2016.0,0.0
5403.0,2017.0,0.0
5403.0,2018.0,0.0
5403.0,2019.0,0.0
5403.0,2020.0,0.0
5403.0,2021.0,0.0
5403.0,2022.0,0.0
5403.0,2023.0,0.0
5403.0,2024.0,0.0
5403.0,2025.0,0.0
5404.0,2000.0,0.0
5404.0,2001.0,0.0
5404.0,2002.0,0.0
5404.0,2003.0,0.0
5404.0,2004.0,0.0
5404.0,2005.0,0.0
5404.0,2006.0,0.0
5404.0,2007.0,0.0
5404.0,2008.0,0.0
5404.0,2009.0,0.0
5404.0,2010.0,0.0
5404.0,2011.0,0.0
5404.0,2012.0,0.0
5404.0,2013.0,0.0
5404.0,2014.0,0.0
5404.0,2015.0,0.0
5404.0,2016.0,0.0
5404.0,2017.0,0.0
5404.0,2018.0,0.0
5404.0,2019.0,0.0
5404.0,2020.0,0.0
5404.0,2021.0,0.0
5404.0,2022.0,0.0
5404.0,2023.0,0.0
5404.0,2024.0,0.0
5404.0,2025.0,0.0
5500.0,2000.0,6.6
5500.0,2001.0,6.3
5500.0,2002.0,6.2
5500.0,2003.0,6.9
5500.0,2004.0,6.7
5500.0,2005.0,6.7
5500.0,2006.0,6.2
5500.0,2007.0,6.6
5500.0,2008.0,6.3
5500.0,2009.0,6.5
5500.0,2010.0,7.4
5500.0,2011.0,7.1
5500.0,2012.0,6.8
5500.0,2013.0,6.7
5500.0,2014.0,6.5
5500.0,2015.0,7.2
5500.0,2016.0,7.1
5500.0,2017.0,7.1
5500.0,2018.0,7.4
5500.0,2019.0,7.4
5500.0,2020.0,7.0
5500.0,2021.0,7.8
5500.0,2022.0,7.5
5500.0,2023.0,8.4
5500.0,2024.0,8.1
5500.0,2025.0,8.0
5501.0,2000.0,0.0
5501.0,2001.0,0.0
5501.0,2002.0,0.0
5501.0,2003.0,0.0
5501.0,2004.0,0.0
5501.0,2005.0,0.0
5501.0,2006.0,0.0
5501.0,2007.0,0.0
5501.0,2008.0,0.0
5501.0,2009.0,0.0
5501.0,2010.0,0.0
5501.0,2011.0,0.0
5501.0,2012.0,0.0
5501.0,2013.0,0.0
5501.0,2014.0,0.0
5501.0,2015.0,0.0
5501.0,2016.0,0.0
5501.0,2017.0,0.0
5501.0,2018.0,0.0
5501.0,2019.0,0.0
5501.0,2020.0,0.0
5501.0,2021.0,0.0
5501.0,2022.0,0.0
5501.0,2023.0,0.0
5501.0,2024.0,0.0
5501.0,2025.0,0.0
5502.0,2000.0,22.6
5502.0,2001.0,22.1
5502.0,2002.0,21.6
5502.0,2003.0,24.5
5502.0,2004.0,23.9
5502.0,2005.0,24.2
5502.0,2006.0,22.3
5502.0,2007.0,24.3
5502.0,2008.0,23.0
5502.0,2009.0,23.8
5502.0,2010.0,27.4
5502.0,2011.0,26.1
5502.0,2012.0,24.9
5502.0,2013.0,24.3
5502.0,2014.0,23.3
5502.0,2015.0,25.4
5502.0,2016.0,25.0
5502.0,2017.0,24.6
5502.0,2018.0,25.6
5502.0,2019.0,25.3
5502.0,2020.0,23.9
5502.0,2021.0,26.2
5502.0,2022.0,25.2
5502.0,2023.0,28.1
5502.0,2024.0,27.1
5502.0,2025.0,26.9
5504.0,2000.0,5.6
5504.0,2001.0,5.1
5504.0,2002.0,5.1
5504.0,2003.0,5.1
5504.0,2004.0,4.5
5504.0,2005.0,4.3
5504.0,2006.0,4.3
5504.0,2007.0,4.3
5504.0,2008.0,3.8
5504.0,2009.0,3.8
5504.0,2010.0,3.5
5504.0,2011.0,3.9
5504.0,2012.0,3.8
5504.0,2013.0,3.7
5504.0,2014.0,3.7
5504.0,2015.0,4.0
5504.0,2016.0,4.0
5504.0,2017.0,4.3
5504.0,2018.0,4.1
5504.0,2019.0,3.4
5504.0,2020.0,3.2
5504.0,2021.0,2.8
5504.0,2022.0,2.9
5504.0,2023.0,3.5
5504.0,2024.0,2.7
5504.0,2025.0,2.6
